OPTIONS	1	
VEHICULES	90	
		
RATIO	POIDS	NOM
1 2	10	HPRC1
		
VEHICULE	HPRC1	
1	1	
2	0	
3	1	
4	0	
5	1	
6	0	
7	1	
8	0	
9	1	
10	0	
11	1	
12	0	
13	1	
14	0	
15	1	
16	0	
17	1	
18	0	
19	1	
20	0	
21	1	
22	1	
23	0	
24	1	
25	0	
26	1	
27	0	
28	1	
29	0	
30	1	
31	0	
32	1	
33	0	
34	1	
35	0	
36	1	
37	0	
38	1	
39	0	
40	1	
41	0	
42	1	
43	1	
44	0	
45	1	
46	0	
47	1	
48	0	
49	1	
50	0	
51	1	
52	0	
53	1	
54	0	
55	1	
56	0	
57	1	
58	0	
59	1	
60	0	
61	1	
62	0	
63	1	
64	1	
65	0	
66	1	
67	0	
68	1	
69	0	
70	1	
71	0	
72	1	
73	0	
74	1	
75	1	
76	0	
77	1	
78	0	
79	1	
80	0	
81	1	
82	0	
83	1	
84	0	
85	1	
86	1	
87	1	
88	1	
89	1	
90	1	
