OPTIONS	2	
VEHICULES	376	
		
RATIO	POIDS	NOM
1 2	10	HPRC1
1 2	10	HPRC2
		
VEHICULE	HPRC1	HPRC2
1	0	0
2	0	1
3	0	0
4	0	0
5	0	0
6	1	1
7	0	0
8	0	0
9	0	0
10	1	1
11	0	0
12	0	1
13	0	0
14	0	0
15	0	1
16	0	0
17	1	1
18	0	0
19	0	0
20	0	1
21	0	0
22	0	1
23	0	0
24	0	0
25	0	1
26	0	0
27	0	1
28	0	0
29	0	1
30	0	0
31	0	1
32	0	0
33	0	1
34	0	0
35	0	1
36	0	0
37	0	0
38	0	1
39	0	0
40	0	0
41	0	0
42	0	1
43	0	0
44	1	1
45	0	0
46	0	1
47	0	0
48	0	0
49	0	0
50	0	0
51	0	1
52	0	0
53	0	0
54	0	0
55	0	1
56	0	0
57	0	0
58	1	1
59	0	0
60	0	0
61	0	0
62	1	1
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	1
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	1
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	1
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	1
110	0	0
111	0	0
112	0	0
113	0	1
114	0	0
115	0	0
116	0	0
117	0	0
118	0	1
119	0	0
120	0	0
121	0	0
122	0	1
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	0	1
129	0	0
130	0	0
131	0	0
132	0	1
133	0	0
134	0	0
135	0	0
136	0	1
137	0	0
138	0	0
139	1	1
140	0	0
141	1	1
142	0	1
143	1	1
144	0	0
145	1	1
146	0	1
147	1	1
148	0	0
149	1	1
150	0	0
151	1	1
152	0	1
153	0	0
154	1	1
155	0	0
156	1	1
157	0	1
158	0	0
159	1	1
160	0	0
161	0	1
162	1	1
163	0	1
164	1	1
165	0	0
166	0	1
167	1	1
168	0	0
169	1	1
170	0	0
171	1	1
172	0	1
173	0	0
174	1	1
175	0	1
176	1	1
177	0	0
178	1	1
179	0	0
180	0	1
181	0	0
182	1	1
183	0	0
184	0	1
185	1	1
186	0	1
187	0	0
188	1	1
189	0	1
190	1	1
191	0	0
192	1	1
193	0	0
194	1	1
195	0	0
196	1	1
197	0	1
198	1	1
199	0	0
200	1	1
201	0	0
202	0	1
203	0	0
204	1	1
205	0	0
206	0	1
207	0	1
208	0	0
209	1	1
210	0	1
211	0	0
212	1	1
213	0	0
214	1	1
215	0	1
216	0	0
217	1	1
218	0	0
219	1	1
220	0	1
221	1	1
222	0	0
223	0	1
224	0	1
225	0	0
226	1	1
227	0	0
228	0	1
229	1	1
230	0	0
231	0	1
232	0	0
233	0	1
234	1	1
235	0	1
236	0	1
237	1	1
238	0	0
239	1	1
240	0	0
241	1	1
242	0	0
243	1	1
244	0	0
245	0	1
246	0	1
247	0	0
248	0	1
249	1	1
250	0	0
251	1	1
252	0	0
253	0	1
254	0	0
255	0	1
256	0	0
257	1	1
258	0	0
259	0	1
260	0	0
261	1	1
262	0	0
263	0	1
264	0	0
265	1	1
266	0	1
267	0	1
268	0	1
269	0	1
270	0	1
271	0	0
272	1	1
273	0	0
274	0	1
275	0	0
276	0	1
277	0	0
278	1	1
279	0	0
280	0	1
281	1	1
282	0	0
283	0	1
284	0	0
285	0	1
286	0	0
287	0	1
288	0	0
289	1	1
290	0	0
291	0	1
292	0	0
293	1	1
294	0	0
295	1	1
296	0	0
297	0	1
298	0	0
299	1	1
300	0	0
301	1	1
302	0	0
303	0	1
304	1	1
305	0	0
306	0	1
307	0	0
308	0	0
309	0	0
310	0	0
311	0	1
312	0	0
313	0	1
314	0	0
315	0	0
316	0	0
317	0	0
318	0	0
319	0	1
320	0	0
321	0	1
322	0	0
323	0	1
324	1	1
325	0	0
326	1	1
327	0	0
328	0	1
329	0	1
330	0	1
331	0	0
332	1	1
333	0	1
334	0	1
335	1	1
336	0	1
337	1	1
338	0	1
339	0	0
340	0	1
341	0	1
342	0	0
343	1	1
344	0	0
345	0	1
346	0	0
347	1	1
348	0	0
349	0	1
350	1	1
351	0	0
352	1	1
353	0	0
354	0	1
355	0	1
356	1	1
357	0	0
358	0	1
359	0	0
360	0	1
361	0	1
362	0	0
363	0	1
364	0	1
365	0	0
366	0	1
367	0	0
368	1	1
369	0	0
370	0	1
371	0	0
372	1	1
373	0	1
374	0	1
375	0	0
376	0	1
