OPTIONS	26																									
VEHICULES	325																									
																										
RATIO	POIDS	NOM																								
1 2	10	HPRC1																								
1 10	10	HPRC2																								
1 12	10	HPRC3																								
1 10	10	HPRC4																								
1 20	10	HPRC5																								
1 6	10	HPRC6																								
1 25	10	HPRC7																								
1 8	10	HPRC8																								
1 7	10	HPRC9																								
1 16	1	LPRC1																								
1 91	1	LPRC2																								
11 36	1	LPRC3																								
1 13	1	LPRC4																								
3 5	1	LPRC5																								
1 12	1	LPRC6																								
1 13	1	LPRC7																								
1 3	1	LPRC8																								
1 18	1	LPRC9																								
1 4	1	LPRC10																								
3 4	1	LPRC11																								
1 8	1	LPRC12																								
1 4	1	LPRC13																								
1 10	1	LPRC14																								
1 39	1	LPRC15																								
4 5	1	LPRC16																								
1 46	1	LPRC17

VEHICULE	HPRC1	HPRC2	HPRC3	HPRC4	HPRC5	HPRC6	HPRC7	HPRC8	HPRC9	LPRC1	LPRC2	LPRC3	LPRC4	LPRC5	LPRC6	LPRC7	LPRC8	LPRC9	LPRC10	LPRC11	LPRC12	LPRC13	LPRC14	LPRC15	LPRC16	LPRC17
1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0
2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0
4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
6	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0
8	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0
9	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
11	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0
12	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
13	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
